Fecha;Aplicacion;Pais;Dispositivo;Instalaciones;Desinstalaciones;Impresiones
29/11/2017;eticsearch;ES;iPad;0;0;21
30/11/2017;eticsearch;ES;iPad;0;0;20
01/12/2017;eticsearch;ES;iPad;0;0;22
02/12/2017;eticsearch;ES;iPad;0;0;21
03/12/2017;eticsearch;ES;iPad;0;0;15
04/12/2017;eticsearch;ES;iPad;0;0;13
05/12/2017;eticsearch;ES;iPad;0;0;14
06/12/2017;eticsearch;ES;iPad;0;0;16
07/12/2017;eticsearch;ES;iPad;0;0;15
08/12/2017;eticsearch;ES;iPad;0;0;11
09/12/2017;eticsearch;ES;iPad;0;0;13
10/12/2017;eticsearch;ES;iPad;0;0;16
11/12/2017;eticsearch;ES;iPad;0;0;15
12/12/2017;eticsearch;ES;iPad;0;0;10
13/12/2017;eticsearch;ES;iPad;0;0;20
14/12/2017;eticsearch;ES;iPad;1;0;12
15/12/2017;eticsearch;ES;iPad;0;0;15
16/12/2017;eticsearch;ES;iPad;0;0;13
17/12/2017;eticsearch;ES;iPad;0;0;8
18/12/2017;eticsearch;ES;iPad;0;0;13
19/12/2017;eticsearch;ES;iPad;0;0;9
20/12/2017;eticsearch;ES;iPad;0;0;19
21/12/2017;eticsearch;ES;iPad;0;0;18
22/12/2017;eticsearch;ES;iPad;0;0;6
23/12/2017;eticsearch;ES;iPad;0;0;15
24/12/2017;eticsearch;ES;iPad;0;0;9
25/12/2017;eticsearch;ES;iPad;0;0;16
26/12/2017;eticsearch;ES;iPad;0;0;20
27/12/2017;eticsearch;ES;iPad;0;0;27
28/12/2017;eticsearch;ES;iPad;0;0;22
29/12/2017;eticsearch;ES;iPad;0;0;25
30/12/2017;eticsearch;ES;iPad;0;0;11
31/12/2017;eticsearch;ES;iPad;0;0;8
01/01/2018;eticsearch;ES;iPad;0;0;9
02/01/2018;eticsearch;ES;iPad;0;0;22
03/01/2018;eticsearch;ES;iPad;0;0;26
04/01/2018;eticsearch;ES;iPad;0;0;19
05/01/2018;eticsearch;ES;iPad;1;0;17
06/01/2018;eticsearch;ES;iPad;0;0;11
07/01/2018;eticsearch;ES;iPad;0;0;16
08/01/2018;eticsearch;ES;iPad;0;0;13
09/01/2018;eticsearch;IT;iPad;0;0;12
10/01/2018;eticsearch;ES;iPad;0;0;19
